rank,name,hand_scene,proposed_rubric_score,proposed_credits,evidence_institution,evidence_festival,evidence_ibiza,evidence_label,existing_tags
240,Miss Kittin,72,73,institution; ibiza; label,Berghain | Panorama Bar | Säule; fabric,,Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
241,Simon Doty,72,35,label,,,,label_score 100/100 (name not stored — confirm),
242,Wehbba,75,64,institution; label,Watergate,,,label_score 100/100 (name not stored — confirm),
243,Pional,70,73,institution; ibiza; label,DC-10,,DC-10,label_score 85/100 (name not stored — confirm),
244,Dimitri From Paris,78,25,ibiza,,,Hï Ibiza,,
245,Boss Priester,50,,,,,,,
246,VTSS,62,64,institution; label,Berghain | Panorama Bar | Säule,,,label_score 100/100 (name not stored — confirm),
247,Deetron,72,73,institution; ibiza; label,Berghain | Panorama Bar | Säule; fabric,,Ushuaïa Ibiza,label_score 100/100 (name not stored — confirm),
248,Son of Son,46,52,ibiza; label,,,[UNVRS],label_score 100/100 (name not stored — confirm),
249,Pleasurekraft,72,35,label,,,,label_score 100/100 (name not stored — confirm),
250,Danny Daze,70,,,,,,,
251,Victor Calderone,72,35,label,,,,label_score 100/100 (name not stored — confirm),
252,Luigi Madonna,73,73,institution; ibiza; label,fabric; Watergate,,Amnesia Ibiza,label_score 100/100 (name not stored — confirm),
253,Franc Fala,44,35,label,,,,label_score 90/100 (name not stored — confirm),
254,DJ Holographic,70,64,institution; label,Berghain | Panorama Bar | Säule,,,label_score 100/100 (name not stored — confirm),
255,Jordan Brando,50,35,label,,,,label_score 100/100 (name not stored — confirm),
256,Edu Imbernon,72,35,label,,,,label_score 100/100 (name not stored — confirm),
257,Alan Dixon,73,52,ibiza; label,,,Hï Ibiza,label_score 100/100 (name not stored — confirm),
258,Culoe De Song,73,73,institution; ibiza; label,Watergate,,Hï Ibiza,label_score 100/100 (name not stored — confirm),
259,Burnski,65,64,institution; label,fabric,,,label_score 80/100 (name not stored — confirm),
260,DJ Sneak,79,25,ibiza,,,Ushuaïa Ibiza; Pacha Ibiza,,
261,Tiefschwarz,73,64,institution; label,Watergate; fabric; Robert Johnson,,,label_score 85/100 (name not stored — confirm),
262,KAS:ST,60,64,institution; label,Concrete,,,label_score 100/100 (name not stored — confirm),
263,Latmun,74,73,institution; ibiza; label,DC-10,,Eden; Amnesia Ibiza; DC-10,label_score 90/100 (name not stored — confirm),
264,Henry Saiz,72,,,,,,,
265,Job Jobse,74,44,institution,De School; DC-10; Berghain | Panorama Bar | Säule,,,,
266,Trentemøller,79,,,,,,,
267,MPH,50,35,label,,,,label_score 80/100 (name not stored — confirm),
268,Bonafique,50,35,label,,,,label_score 100/100 (name not stored — confirm),
269,DJ T.,73,64,institution; label,Watergate; Berghain | Panorama Bar | Säule; fabric,,,label_score 80/100 (name not stored — confirm),
270,Dean Turnley,46,,,,,,,
271,Lee Curtiss,70,64,institution; label,Watergate; fabric,,,label_score 90/100 (name not stored — confirm),
272,Sam Alfred,70,,,,,,,
273,Stacey Pullen,75,58,institution; ibiza,fabric,,Amnesia Ibiza,,
274,Frankie Knuckles,90,52,ibiza; label,,,Pacha Ibiza,label_score 80/100 (name not stored — confirm),
275,Jay de Lys,52,52,ibiza; label,,,Ushuaïa Ibiza,label_score 90/100 (name not stored — confirm),
276,Saoirse,85,73,institution; festival; ibiza,fabric; DC-10; Corsica Studios,The Warehouse Project,DC-10; Amnesia Ibiza,,trUst; Body Movements; fabric; Boiler Room
277,Marlon Hoffstadt,60,44,institution,://about blank,,,,
278,Genesi,46,52,ibiza; label,,,Hï Ibiza,label_score 80/100 (name not stored — confirm),
279,OMRI.,50,,,,,,,
280,Joeski,72,,,,,,,
281,salute,58,58,festival; label,,The Warehouse Project,,label_score 100/100 (name not stored — confirm),
282,Sacha Robotti,72,35,label,,,,label_score 100/100 (name not stored — confirm),
283,Oden & Fatzo,72,25,ibiza,,,Eden; Ushuaïa Ibiza; Amnesia Ibiza,,Defected; Cercle; EDC
284,Re.You,70,,,,,,,
285,GUDFELLA,38,,,,,,,
286,Ryan Crosson,70,64,institution; label,Watergate; DC-10; fabric,,,label_score 80/100 (name not stored — confirm),
287,Larry Heard,85,44,institution,Berghain | Panorama Bar | Säule; Sub Club,,,,
288,Phase Fatale,68,44,institution,Berghain | Panorama Bar | Säule; KHIDI; BASEMENT,,,,
289,Rebekah,70,44,institution,Tresor / Globus; ://about blank,,,,
290,SPFDJ,72,44,institution,Tresor / Globus; Berghain | Panorama Bar | Säule; Bassiani,,,,
291,Marika Rossa,70,35,label,,,,label_score 80/100 (name not stored — confirm),
292,Angelo Ferreri,68,,,,,,,
293,oskar med k,46,,,,,,,
294,Inigo Kennedy,68,44,institution,Tresor / Globus; Berghain | Panorama Bar | Säule; Corsica Studios; ://about blank; Rex Club,,,,
295,Simian Mobile Disco,74,64,institution; label,fabric,,,label_score 80/100 (name not stored — confirm),
296,Hector Romero,70,25,ibiza,,,Pacha Ibiza,,
297,San Soda,73,64,institution; label,Berghain | Panorama Bar | Säule; ://about blank; Corsica Studios,,,label_score 100/100 (name not stored — confirm),
298,AMÉMÉ,70,35,label,,,,label_score 90/100 (name not stored — confirm),
299,GW Harrison,70,52,ibiza; label,,,Eden; Amnesia Ibiza,label_score 85/100 (name not stored — confirm),
300,Maya,72,,,,,,,
301,Yuvèe,50,35,label,,,,label_score 100/100 (name not stored — confirm),
302,Akufen,70,64,institution; label,Berghain | Panorama Bar | Säule; fabric; DC-10,,,label_score 100/100 (name not stored — confirm),
303,Ilias Katelanos,50,35,label,,,,label_score 100/100 (name not stored — confirm),
304,Harvey McKay,73,35,label,,,,label_score 100/100 (name not stored — confirm),
305,Sascha Dive,72,44,institution,Watergate; Robert Johnson; fabric,,,,
306,Levon Vincent,73,64,institution; label,Berghain | Panorama Bar | Säule; fabric; Rex Club; Tresor / Globus,,,label_score 100/100 (name not stored — confirm),
307,Pig&Dan,73,35,label,,,,label_score 80/100 (name not stored — confirm),
308,Christian Burkhardt,70,73,institution; ibiza; label,Watergate; Robert Johnson,,Amnesia Ibiza,label_score 80/100 (name not stored — confirm),
309,Kastis Torrau,68,35,festival,,Club Exit,,,
310,Marco Strous,48,35,label,,,,label_score 100/100 (name not stored — confirm),
311,Spektre,68,35,label,,,,label_score 100/100 (name not stored — confirm),
312,Plecta,50,35,label,,,,label_score 100/100 (name not stored — confirm),
313,Mr. G,72,35,label,,,,label_score 85/100 (name not stored — confirm),
314,Andre Crom,72,,,,,,,
315,David Mayer,72,64,institution; label,Watergate,,,label_score 85/100 (name not stored — confirm),
316,Jacob Matthews,50,,,,,,,
317,Notion,30,,,,,,,
318,Murphy's Law (UK),73,,,,,,,
319,Dario D'Attis,72,,,,,,,
320,Torren Foot,55,35,label,,,,label_score 80/100 (name not stored — confirm),
321,D.O.D,65,25,ibiza,,,Pacha Ibiza,,Sweat It Out; Festival headliner
322,Maxxi Soundsystem,72,35,label,,,,label_score 100/100 (name not stored — confirm),
323,Chasewest,46,58,festival; label,,Factory Town,,label_score 80/100 (name not stored — confirm),
324,Greg 99,46,,,,,,,
325,Bas Ibellini,65,35,label,,,,label_score 100/100 (name not stored — confirm),
326,Nicholas Van Orton,68,,,,,,,
327,GEØVHÄN,50,,,,,,,
328,Leo Lukas,65,,,,,,,
329,Nino Bua,65,,,,,,,
330,Alec Araujo,65,,,,,,,
